id_141,id,graph_order,acronym,name,color_hex_triplet,parent_structure_id,parent_acronym,parent_name,parent_05_acronym,parent_05_name,structure_id_path,annotated,voxel_count,subgraph_annotated,subgraph_voxel_count,volume_mm3,volume_cm3,parent_01,parent_02,parent_03,parent_04,parent_05,parent_06,parent_07,parent_08,parent_09,parent_10,parent_11,parent_12,parent_13,parent_14,parent_15
1,10307,1732,OB,"olfactory bulb",D1CEE2,10306,PalCx,"paleocortex (semicortex)",FGM,gray matter of forebrain,/10153/10154/10155/10156/10157/10158/10159/10292/10306/10307/,True,844,True,844,105.5,0.1055,10153,10154,10155,10156,10157,10158,10159,10292,10306,10307,0,0,0,0,0
2,10308,1739,AON,"anterior olfactory nucleus",AA9DC6,10306,PalCx,"paleocortex (semicortex)",FGM,gray matter of forebrain,/10153/10154/10155/10156/10157/10158/10159/10292/10306/10308/,True,1223,True,1223,152.875,0.152875,10153,10154,10155,10156,10157,10158,10159,10292,10306,10308,0,0,0,0,0
3,10311,1751,Pir,"piriform cortex",AA9DC6,10306,PalCx,"paleocortex (semicortex)",FGM,gray matter of forebrain,/10153/10154/10155/10156/10157/10158/10159/10292/10306/10311/,True,1588,True,1588,198.5,0.1985,10153,10154,10155,10156,10157,10158,10159,10292,10306,10311,0,0,0,0,0
4,10329,1587,FI,"frontal agranular insular cortex (area FI)",C1A68F,10327,PPCx,"peripaleocortex",FGM,gray matter of forebrain,/10153/10154/10155/10156/10157/10158/10159/10313/10327/10329/,True,296,True,296,37,0.037,10153,10154,10155,10156,10157,10158,10159,10313,10327,10329,0,0,0,0,0
5,10330,1593,TI,"temporal agranular insular cortex (area TI)",B5967F,10327,PPCx,"peripaleocortex",FGM,gray matter of forebrain,/10153/10154/10155/10156/10157/10158/10159/10313/10327/10330/,True,1713,True,1713,214.125,0.214125,10153,10154,10155,10156,10157,10158,10159,10313,10327,10330,0,0,0,0,0
6,10335,1862,CaH,"head of caudate",91A06E,10334,Ca,"caudate nucleus",FGM,gray matter of forebrain,/10153/10154/10155/10156/10157/10158/10331/10332/10333/10334/10335/,True,28911,True,28911,3613.875,3.613875,10153,10154,10155,10156,10157,10158,10331,10332,10333,10334,10335,0,0,0,0
7,10336,1866,CaB,"body of caudate",99A677,10334,Ca,"caudate nucleus",FGM,gray matter of forebrain,/10153/10154/10155/10156/10157/10158/10331/10332/10333/10334/10336/,True,12301,True,12301,1537.625,1.537625,10153,10154,10155,10156,10157,10158,10331,10332,10333,10334,10336,0,0,0,0
8,10337,1867,CaT,"tail of caudate",91A06E,10334,Ca,"caudate nucleus",FGM,gray matter of forebrain,/10153/10154/10155/10156/10157/10158/10331/10332/10333/10334/10337/,True,2589,True,2589,323.625,0.323625,10153,10154,10155,10156,10157,10158,10331,10332,10333,10334,10337,0,0,0,0
9,10338,1870,Pu,"putamen",A8B485,10333,STR,"striatum",FGM,gray matter of forebrain,/10153/10154/10155/10156/10157/10158/10331/10332/10333/10338/,True,51512,True,53418,6677.25,6.67725,10153,10154,10155,10156,10157,10158,10331,10332,10333,10338,0,0,0,0,0
10,10339,1879,NAC,"nucleus accumbens",91A06E,10333,STR,"striatum",FGM,gray matter of forebrain,/10153/10154/10155/10156/10157/10158/10331/10332/10333/10339/,True,5210,True,5210,651.25,0.65125,10153,10154,10155,10156,10157,10158,10331,10332,10333,10339,0,0,0,0,0
